Protein stable ID	RefSeq mRNA ID
ENSP00000257430	NM_000038
ENSP00000363822	NM_000044
ENSP00000278616	NM_000051
ENSP00000439902	NM_000059
ENSP00000373952	NM_000135
ENSP00000351276	NM_000141
ENSP00000414914	NM_000142
ENSP00000234420	NM_000179
ENSP00000391676	NM_000215
ENSP00000288135	NM_000222
ENSP00000396940	NM_000244
ENSP00000380860	NM_000245
ENSP00000231790	NM_000249
ENSP00000233146	NM_000251
ENSP00000332353	NM_000264
ENSP00000344666	NM_000268
ENSP00000361021	NM_000314
ENSP00000267163	NM_000321
ENSP00000298552	NM_000368
ENSP00000298171	NM_000369
ENSP00000324856	NM_000455
ENSP00000362441	NM_000489
ENSP00000360126	NM_000516
ENSP00000443112	NM_000545
ENSP00000269305	NM_000546
ENSP00000219476	NM_000548
ENSP00000256474	NM_000551
ENSP00000222390	NM_000601
ENSP00000381185	NM_000633
ENSP00000362198	NM_000760
ENSP00000384449	NM_001003652
ENSP00000425905	NM_001007228
ENSP00000354207	NM_001012338
ENSP00000384293	NM_001014431
ENSP00000351905	NM_001024847
ENSP00000376544	NM_001039933
ENSP00000423972	NM_001042424
ENSP00000351015	NM_001042492
ENSP00000218089	NM_001042749
ENSP00000346879	NM_001079668
ENSP00000351273	NM_001080125
ENSP00000387500	NM_001122740
ENSP00000367705	NM_001123385
ENSP00000369351	NM_001127208
ENSP00000407586	NM_001130442
ENSP00000339479	NM_001134373
ENSP00000332549	NM_001134407
ENSP00000363668	NM_001141970
ENSP00000271640	NM_001145415
ENSP00000402154	NM_001145785
ENSP00000219905	NM_001164273
ENSP00000437473	NM_001170794
ENSP00000393312	NM_001174067
ENSP00000358092	NM_001198
ENSP00000428742	NM_001198679
ENSP00000418102	NM_001244814
ENSP00000382840	NM_001356
ENSP00000263253	NM_001429
ENSP00000355759	NM_001618
ENSP00000375892	NM_001626
ENSP00000400175	NM_001664
ENSP00000384371	NM_001706
ENSP00000409227	NM_001754
ENSP00000362082	NM_001760
ENSP00000358501	NM_001779
ENSP00000344456	NM_001904
ENSP00000267101	NM_001982
ENSP00000282397	NM_002019
ENSP00000365858	NM_002049
ENSP00000368632	NM_002051
ENSP00000078429	NM_002067
ENSP00000286548	NM_002072
ENSP00000268638	NM_002163
ENSP00000331897	NM_002168
ENSP00000306157	NM_002185
ENSP00000343204	NM_002227
ENSP00000263923	NM_002253
ENSP00000356150	NM_002393
ENSP00000367207	NM_002467
ENSP00000379625	NM_002468
ENSP00000296930	NM_002520
ENSP00000358548	NM_002524
ENSP00000431418	NM_002529
ENSP00000362608	NM_002648
ENSP00000352121	NM_002649
ENSP00000362369	NM_002660
ENSP00000215832	NM_002745
ENSP00000302486	NM_002755
ENSP00000340944	NM_002834
ENSP00000267868	NM_002875
ENSP00000251849	NM_002880
ENSP00000357494	NM_002944
ENSP00000262445	NM_003010
ENSP00000376276	NM_003016
ENSP00000343896	NM_003072
ENSP00000263121	NM_003073
ENSP00000341208	NM_003152
ENSP00000300134	NM_003153
ENSP00000364907	NM_003177
ENSP00000454207	NM_003300
ENSP00000384863	NM_003400
ENSP00000262320	NM_003502
ENSP00000264731	NM_003722
ENSP00000329418	NM_003745
ENSP00000452780	NM_004048
